Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;31844;Порт-13;Ступино;;;;;;
2;31846;Чёрный отряд;Ступино;;;;;;
3;29548;Ступинозавры;Ступино;;;;;;
4;31847;Лицей;Ступино;;;;;;
6;1168;Стрела;Ступино;;;;;;
6;31849;МАТИ;Ступино;;;;;;
6;31850;Помпасы;Ступино;;;;;;
8;44037;Лицей 2;Ступино;;;;;;
9;31851;Девчата;Ступино;;;;;;
"10,5";31852;Команда Евсютина;Ступино;;;;;;
"10,5";31853;Ока;Ступино;;;;;;
12;31854;Полёт;Ступино;;;;;;
13;31856;Вертикаль;Ступино;;;;;;
14;31858;Школа №1;Ступино;;;;;;
