Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;313;Динамит;Казань;;;;;;
2;8317;Ёти;Казань;;;;;;
3;29129;Ума палата;Казань;;;;;;
4;325;Экспресс;Казань;;;;;;
5;700;Вервольф;Казань;Л;2642;Батдалов;Руслан;Юсупович;0
5;700;Вервольф;Казань;Л;3909;Бондарь;Лидия;Александровна;0
5;700;Вервольф;Казань;Л;27003;Родыгин;Семён;Владимирович;0
5;700;Вервольф;Казань;Л;30123;Сомов;Денис;Вячеславович;0
5;700;Вервольф;Казань;Л;33624;Хайбуллин;Ренат;Равилевич;0
5;700;Вервольф;Казань;Л;33667;Халиков;Айдар;Рустамович;0
6;29375;ЭКО;Казань;;;;;;
7;1959;Минута молчания;Казань;;;;;;
8;29933;Святогор;Казань;;;;;;
9;29123;Lanugo;Казань;;;;;;
10;58;Anno Domini;Казань;;;;;;
11;1190;Анацефалы;Казань;;;;;;
12;399;Looserы;Казань;;;;;;
13;78;Экотех;Казань;;;;;;
14;33242;Нео;Казань;;;;;;
15;21;Кондор;Казань;;;;;;
16;33532;Просто монстры;Казань;;;;;;
17;2042;Термидор;Казань;;;;;;
18;31977;Четвертак;Казань;;;;;;
19;4508;Олимп;Казань;;;;;;
20;460;Антракс;Казань;;;;;;
21;1193;Se non e vero;Казань;;;;;;
22;33535;Гимназия;Казань;;;;;;
23;33537;Палата №6;Казань;;;;;;
24;33239;Химера;Казань;;;;;;
25;33252;В конце концов;Казань;;;;;;
26;31258;Крепкий орешек;Казань;;;;;;
27;30027;СС;Казань;;;;;;
28;33539;7Г;Казань;;;;;;
29;31274;Гексаген;Казань;;;;;;
30;33541;Диоксин;Казань;;;;;;
31;30883;Энергия;Казань;;;;;;
32;29982;Фаворит;Казань;;;;;;
33;33543;Парадокс;Казань;;;;;;
34;33544;Орион;Казань;;;;;;
35;3920;Альтернатива;Зеленодольск (Т);;;;;;
36;33545;6 мудрецов;Казань;;;;;;
37;33546;Лекс;Казань;;;;;;
