Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;670;Ксеп;Москва;Б;16332;Крапиль;Николай;Валерьевич;123
1;670;Ксеп;Москва;Б;3159;Бер;Илья;Леонидович;1
1;670;Ксеп;Москва;Б;22935;Новиков;Илья;Сергеевич;23
1;670;Ксеп;Москва;Б;1585;Архангельская;Юлия;Сергеевна;23
1;670;Ксеп;Москва;Л;30270;Спешков;Сергей;Леонидович;123
1;670;Ксеп;Москва;Б;22482;Немучинский;Роман;Борисович;12
1;670;Ксеп;Москва;Б;20691;Мереминский;Станислав;Григорьевич;123
1;670;Ксеп;Москва;Л;27622;Рябых;Николай;Георгиевич;1
2;1397;Ла Скала;Санкт-Петербург;Б;8299;Грук;Леонид;Валерьевич;1
2;1397;Ла Скала;Санкт-Петербург;Л;28751;Семушин;Иван;Николаевич;3
2;1397;Ла Скала;Санкт-Петербург;Б;21661;Москаленко;Артём;Валерьевич;3
2;1397;Ла Скала;Санкт-Петербург;Л;46679;Мужикбаев;Леонид;Андреевич;2
2;1397;Ла Скала;Санкт-Петербург;Б;32777;Уточкин;Павел;Сергеевич;123
2;1397;Ла Скала;Санкт-Петербург;Б;31260;Тарасов;Андрей;Даниилович;12
2;1397;Ла Скала;Санкт-Петербург;Б;25757;Летюхина;Мария;Алексеевна;123
2;1397;Ла Скала;Санкт-Петербург;Б;20025;Мартынова;Анастасия;Алексеевна;123
2;1397;Ла Скала;Санкт-Петербург;Л;20001;Мартынов;Александр;Ефимович;123
3;316;Минус один;Киев;Б;20150;Масликов;Максим;Михайлович;123
3;316;Минус один;Киев;Б;22331;Науменко;Константин;Владимирович;12
3;316;Минус один;Киев;Б;10182;Еганов;Антон;Александрович;12
3;316;Минус один;Киев;Б;7420;Голуб;Эдуард;Викторович;13
3;316;Минус один;Киев;Б;23740;Островский;Владимир;Сергеевич;123
3;316;Минус один;Киев;Л;34820;Чёрная;Алёна;Игоревна;3
3;316;Минус один;Киев;Л;22476;Немировский;Александр;Авсеевич;2
3;316;Минус один;Киев;Л;24852;Печерога;Владимир;Анатольевич;13
3;316;Минус один;Киев;Л;29751;Смолянинов;Ярослав;Александрович;3
3;316;Минус один;Киев;Л;9834;Дубинская;Ольга;Игоревна;2
4;45521;Радио Маяк;Сумы;Б;88978;Молдаванова;Екатерина;Станиславовна;2
4;45521;Радио Маяк;Сумы;Б;12808;Ищенко;Иван;Владленович;123
4;45521;Радио Маяк;Сумы;Л;13132;Калиниченко;Анатолий;Васильевич;123
4;45521;Радио Маяк;Сумы;Л;2750;Башкирова;Анна;Вячеславовна;13
4;45521;Радио Маяк;Сумы;Б;77923;Мищенко;Антон;Егорович;2
4;45521;Радио Маяк;Сумы;Б;77928;Гахун;Андрей;Александрович;123
4;45521;Радио Маяк;Сумы;Б;77924;Иванов;Александр;Олегович;123
4;45521;Радио Маяк;Сумы;Б;22644;Никитенко;Владимир;Юрьевич;13
"5,5";8328;Finntrolls;Львов;К;19673;Малюх;Тарас;Григорьевич;123
"5,5";8328;Finntrolls;Львов;Л;25385;Полещук;Елена;Сергеевна;2
"5,5";8328;Finntrolls;Львов;Б;25515;Поляков;Денис;Александрович;13
"5,5";8328;Finntrolls;Львов;Б;23021;Малюх;Кристина;Васильевна;123
"5,5";8328;Finntrolls;Львов;Л;51822;Сыныця;Андрей;Степанович;2
"5,5";8328;Finntrolls;Львов;Б;18985;Лысенко;Андрей;Степанович;23
"5,5";8328;Finntrolls;Львов;Б;61833;Грабовский;Иван;Викторович;123
"5,5";8328;Finntrolls;Львов;Б;42441;Гнидь;Николай;Богданович;13
"5,5";8328;Finntrolls;Львов;Б;42331;Мисяць;Иван;Михайлович;12
"5,5";26955;Сливки - Форс-Мажор;Харьков;Б;10448;Ерёмин;Павел;Владимирович;123
"5,5";26955;Сливки - Форс-Мажор;Харьков;Б;34039;Ходоренко;Антон;Альбертович;12
"5,5";26955;Сливки - Форс-Мажор;Харьков;Б;33389;Фомин;Александр;Владимирович;123
"5,5";26955;Сливки - Форс-Мажор;Харьков;Б;13577;Карнацевич;Владислав;Леонидович;123
"5,5";26955;Сливки - Форс-Мажор;Харьков;Б;17127;Кукленко;Дмитрий;Викторович;123
"5,5";26955;Сливки - Форс-Мажор;Харьков;Л;9583;Доля;Елена;Петровна;123
"5,5";26955;Сливки - Форс-Мажор;Харьков;Л;64252;Иванова;Дарья;Валерьевна;3
7;185;Гимназисты;Самара;Л;6651;Гаранович;Вячеслав;Игоревич;3
7;185;Гимназисты;Самара;Б;36607;Шуваев;Михаил;Владимирович;123
7;185;Гимназисты;Самара;Б;21721;Мотькин;Юрий;Николаевич;12
7;185;Гимназисты;Самара;К;11645;Зельтер;Павел;Михайлович;123
7;185;Гимназисты;Самара;Б;7440;Голубинов;Ярослав;Анатольевич;12
7;185;Гимназисты;Самара;Б;9313;Дзивульский;Артур;Юрьевич;123
7;185;Гимназисты;Самара;Л;8777;Данелянц;Анастасия;Михайловна;3
7;185;Гимназисты;Самара;Б;37537;Беляев;Александр;Валерьевич;12
8;47075;Оператор Дамблдора;Москва;Л;54035;Жадиков;Дамир;Сафуанович;1
8;47075;Оператор Дамблдора;Москва;Л;38458;Лобкова;Екатерина;Владимировна;123
8;47075;Оператор Дамблдора;Москва;Л;86833;Стебалина;Анастасия;Сергеевна;3
8;47075;Оператор Дамблдора;Москва;Л;87775;Любимовский;Сергей;Олегович;1
8;47075;Оператор Дамблдора;Москва;Л;51733;Володин;Валерий;Николаевич;1
8;47075;Оператор Дамблдора;Москва;Л;16802;Кудрявцев;Андрей;Владимирович;1
8;47075;Оператор Дамблдора;Москва;Л;5990;Волыхов;Андрей;Александрович;3
8;47075;Оператор Дамблдора;Москва;Л;86795;Казначеев;Павел;Сергеевич;2
8;47075;Оператор Дамблдора;Москва;Л;86839;Дуков;Андрей;Валерьевич;3
8;47075;Оператор Дамблдора;Москва;Л;86741;Тишкин;Алексей;Александрович;2
8;47075;Оператор Дамблдора;Москва;Л;29887;Соколов;Андрей;Андреевич;2
8;47075;Оператор Дамблдора;Москва;Л;62252;Боков;Тимур;Юрьевич;12
8;47075;Оператор Дамблдора;Москва;Л;16571;Круглик;Александр;Сергеевич;23
8;47075;Оператор Дамблдора;Москва;Л;110341;Завелев;Денис;Ефимович;3
9;493;Beit Grand - Аборигены;Одесса;Л;28263;Сарканич;Денис;Леонидович;3
9;493;Beit Grand - Аборигены;Одесса;Б;2891;Бекшаев;Александр;Сергеевич;123
9;493;Beit Grand - Аборигены;Одесса;Б;6586;Гамбарян;Армен;Георгиевич;123
9;493;Beit Grand - Аборигены;Одесса;Б;20287;Матухно;Артём;Валентинович;12
9;493;Beit Grand - Аборигены;Одесса;Б;3474;Блинов;Евгений;Николаевич;23
9;493;Beit Grand - Аборигены;Одесса;Б;27148;Романовская;Юлия;Гаусовна;13
9;493;Beit Grand - Аборигены;Одесса;К;7533;Гончар;Денис;Андреевич;123
9;493;Beit Grand - Аборигены;Одесса;Б;10983;Жук;Сергей;Олегович;12
"10,5";1738;Форс-мажор;Краснодар;Б;1192;Анисимович;Олег;Сергеевич;123
"10,5";1738;Форс-мажор;Краснодар;Б;38018;Чусов;Алексей;Викторович;123
"10,5";1738;Форс-мажор;Краснодар;Б;61844;Кутепов;Виталий;Сергеевич;123
"10,5";1738;Форс-мажор;Краснодар;Б;22011;Мхитаров;Иван;Юрьевич;12
"10,5";1738;Форс-мажор;Краснодар;Л;38176;Чекарёв;Николай;Дмитриевич;13
"10,5";1738;Форс-мажор;Краснодар;Л;9170;Дереза;Виктор;Николаевич;3
"10,5";1738;Форс-мажор;Краснодар;Б;44534;Хан;Валерия;Владиславовна;2
"10,5";1738;Форс-мажор;Краснодар;Б;23203;Овсянкин;Сергей;Александрович;2
"10,5";2826;6 из 45;Красноярск;Б;5719;Власов;Захар;Владимирович;123
"10,5";2826;6 из 45;Красноярск;Б;6867;Генов;Максим;Геннадьевич;12
"10,5";2826;6 из 45;Красноярск;Б;39138;Метелёв;Владимир;Анатольевич;123
"10,5";2826;6 из 45;Красноярск;Б;1050;Андреев;Антон;Иванович;23
"10,5";2826;6 из 45;Красноярск;Б;4414;Булавчук;Александр;Михайлович;123
"10,5";2826;6 из 45;Красноярск;Б;2952;Белов;Александр;Сергеевич;123
"12,5";2919;Чёрный мерин;Штутгарт;Б;46737;Пуха;Дмитрий;Михайлович;123
"12,5";2919;Чёрный мерин;Штутгарт;Б;14539;Кнауб;Александра;Константиновна;123
"12,5";2919;Чёрный мерин;Штутгарт;Б;51693;Сивак;Виктор;Михайлович;123
"12,5";2919;Чёрный мерин;Штутгарт;Б;24955;Пинский;Юрий;Викторович;13
"12,5";2919;Чёрный мерин;Штутгарт;Б;4870;Ваксман;Александр;;123
"12,5";2919;Чёрный мерин;Штутгарт;Б;3440;Битюков;Александр;Михайлович;12
