Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;2779;Быдло бескультурное;Москва;Л;505;Айзятулова;Иделия;Мукадясовна;0
1;2779;Быдло бескультурное;Москва;К;5328;Великов;Дмитрий;Вадимович;0
1;2779;Быдло бескультурное;Москва;Л;9785;Дронов;Владислав;Геннадьевич;0
1;2779;Быдло бескультурное;Москва;Л;24384;Пашковский;Евгений;Александрович;0
1;2779;Быдло бескультурное;Москва;Б;24899;Пиксендеев;Кирилл;Владимирович;0
1;2779;Быдло бескультурное;Москва;Л;27989;Салита;Александр;Евгеньевич;0
2;55;Мираж;Самара;Л;133;Абрамов;Андрей;Леонидович;0
2;55;Мираж;Самара;Л;932;Алхазов;Григорий;Эдуардович;0
2;55;Мираж;Самара;Б;10660;Ефимов;Сергей;Геннадиевич;0
2;55;Мираж;Самара;Л;27622;Рябых;Николай;Георгиевич;0
2;55;Мираж;Самара;К;31355;Тахтаров;Антон;Константинович;0
2;55;Мираж;Самара;Л;34909;Чернуха;Ирина;Викторовна;0
3;35873;Не им. Микки Мауса;сборная;Л;16911;Кузнецов;Иван;Сергеевич;0
3;35873;Не им. Микки Мауса;сборная;Л;20420;Машковцев;Владимир;Игоревич;0
3;35873;Не им. Микки Мауса;сборная;Л;23509;Опутин;Вадим;Сергеевич;0
3;35873;Не им. Микки Мауса;сборная;Л;24723;Лагутина;Марина;Николаевна;0
4;2865;Немчиновка;Москва;Б;9680;Доскоч;Игорь;Ярославович;0
4;2865;Немчиновка;Москва;Б;19411;Максименко;Станислав;Владимирович;0
4;2865;Немчиновка;Москва;К;26964;Рогозина;Анна;Юрьевна;0
4;2865;Немчиновка;Москва;Л;34219;Христенко;Олег;Богданович;0
5;35875;Струи Нимродели;сборная;Л;13196;Калюков;Евгений;Юрьевич;0
5;35875;Струи Нимродели;сборная;Л;15964;Костенко;Дарья;Васильевна;0
5;35875;Струи Нимродели;сборная;Л;18543;Лихтшангоф;Александр;Зиновьевич;0
5;35875;Струи Нимродели;сборная;Л;20207;Матвеев;Михаил;Леонидович;0
5;35875;Струи Нимродели;сборная;Л;29399;Скородумов;Александр;Владимирович;0
5;35875;Струи Нимродели;сборная;Л;33389;Фомин;Александр;Владимирович;0
6;6424;South Butovo Park;Москва;Л;1387;Арабули;Георгий;Звиадович;0
6;6424;South Butovo Park;Москва;Л;9660;Дорофеев;Сергей;Николаевич;0
6;6424;South Butovo Park;Москва;Б;29767;Сморщков;Павел;Анатольевич;0
6;6424;South Butovo Park;Москва;Б;29943;Соколова;Ирина;Сергеевна;0
6;6424;South Butovo Park;Москва;Л;33806;Харитонова;Татьяна;Викторовна;0
6;6424;South Butovo Park;Москва;Б;36120;Шибанов;Серафим;Александрович;0
7;185;Гимназисты;Самара;Б;490;Аитова;Ксения;Петровна;0
7;185;Гимназисты;Самара;Л;6651;Гаранович;Вячеслав;Игоревич;0
7;185;Гимназисты;Самара;Б;7440;Голубинов;Ярослав;Анатольевич;0
7;185;Гимназисты;Самара;Б;9065;Дёмина;Анна;Ивановна;0
7;185;Гимназисты;Самара;К;11645;Зельтер;Павел;Михайлович;0
7;185;Гимназисты;Самара;Л;13151;Калихман;Георгий;Михайлович;0
8;6856;Руки Суареса;Екатеринбург;Б;2678;Батьков;Алексей;Николаевич;0
8;6856;Руки Суареса;Екатеринбург;Б;3178;Бердышев;Игорь;Владимирович;0
8;6856;Руки Суареса;Екатеринбург;Л;7455;Голубцов;Денис;Владимирович;0
8;6856;Руки Суареса;Екатеринбург;Л;21913;Мусихин;Антон;Михайлович;0
8;6856;Руки Суареса;Екатеринбург;Б;38587;Машкеева;Мария;Вадимовна;0
