Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;168;Сборная Кирибати;Санкт-Петербург;Б;15727;Коробейников;Александр;Геннадьевич;0
1;168;Сборная Кирибати;Санкт-Петербург;Б;23863;Павлов;Роман;Владимирович;0
1;168;Сборная Кирибати;Санкт-Петербург;Б;14025;Киланова;Александра;Сергеевна;0
1;168;Сборная Кирибати;Санкт-Петербург;Б;3671;Богословский;Алексей;Алексеевич;0
1;168;Сборная Кирибати;Санкт-Петербург;Б;15664;Корконосенко;Кирилл;Сергеевич;0
1;168;Сборная Кирибати;Санкт-Петербург;Б;8082;Григорьев;Сергей;Валерьевич;0
1;168;Сборная Кирибати;Санкт-Петербург;Л;5162;Васильев-Куклин;Юрий;Алексеевич;0
2;27177;Призраки Коши;Санкт-Петербург;Л;25819;Порцель;Николай;Александрович;0
2;27177;Призраки Коши;Санкт-Петербург;Б;30371;Старовойт;Юрий;Иванович;0
2;27177;Призраки Коши;Санкт-Петербург;Б;31493;Терентьев;Сергей;Александрович;0
2;27177;Призраки Коши;Санкт-Петербург;Б;23321;Ожигов;Дмитрий;Сергеевич;0
2;27177;Призраки Коши;Санкт-Петербург;К;34644;Чеботкова;Надежда;Сергеевна;0
2;27177;Призраки Коши;Санкт-Петербург;Б;40635;Балабан;Александра;Владимировна;0
2;27177;Призраки Коши;Санкт-Петербург;Л;63916;Сащенко;Лада;Анатольевна;0
3;2073;НВ;Санкт-Петербург;Л;18686;Локшин;Михаил;Давидович;0
3;2073;НВ;Санкт-Петербург;Б;6207;Выдревич;Марианна;Михайловна;0
3;2073;НВ;Санкт-Петербург;Б;5529;Вигонт;Владимир;Александрович;0
3;2073;НВ;Санкт-Петербург;Б;22775;Николаева;Анастасия;Максимовна;0
3;2073;НВ;Санкт-Петербург;Б;30863;Суманеев;Иван;Андреевич;0
3;2073;НВ;Санкт-Петербург;К;15595;Кораблина;Кристина;Олеговна;0
3;2073;НВ;Санкт-Петербург;Б;12318;Иваньков;Никита;Михайлович;0
4;3213;Дикие бозоны Хиггса;Санкт-Петербург;Б;14163;Киричук;Александра;Анатольевна;0
4;3213;Дикие бозоны Хиггса;Санкт-Петербург;Б;52184;Антипов;Дмитрий;Юрьевич;0
4;3213;Дикие бозоны Хиггса;Санкт-Петербург;Б;56647;Горелова;Наталья;Евгеньевна;0
4;3213;Дикие бозоны Хиггса;Санкт-Петербург;Б;48348;Рыжок;Михаил;Сергеевич;0
4;3213;Дикие бозоны Хиггса;Санкт-Петербург;Л;34508;Цыганов;Александр;Сергеевич;0
4;3213;Дикие бозоны Хиггса;Санкт-Петербург;Б;7773;Горкальцева;Наталья;Александровна;0
4;3213;Дикие бозоны Хиггса;Санкт-Петербург;К;16621;Крутиков;Александр;Олегович;0
5;967;МУР-ЛЭТИ;Санкт-Петербург;Б;24630;Петриленков;Егор;Олегович;0
5;967;МУР-ЛЭТИ;Санкт-Петербург;Б;13357;Каплун;Дмитрий;Ильич;0
5;967;МУР-ЛЭТИ;Санкт-Петербург;Л;19529;Малиновская;Алина;Игоревна;0
5;967;МУР-ЛЭТИ;Санкт-Петербург;Л;10168;Евсюков;Александр;Игоревич;0
5;967;МУР-ЛЭТИ;Санкт-Петербург;Б;21916;Мусихин;Никита;Владимирович;0
5;967;МУР-ЛЭТИ;Санкт-Петербург;К;26585;Райко;Михаил;Петрович;0
6;27568;Ergo bibamus;Санкт-Петербург;Б;31290;Савицкая;Маргарита;Витальевна;0
6;27568;Ergo bibamus;Санкт-Петербург;Б;22128;Надеев;Александр;Дмитриевич;0
6;27568;Ergo bibamus;Санкт-Петербург;К;32170;Трофимов;Илья;Петрович;0
6;27568;Ergo bibamus;Санкт-Петербург;Б;58616;Сраго;Михаил;Игоревич;0
6;27568;Ergo bibamus;Санкт-Петербург;Л;29399;Скородумов;Александр;Владимирович;0
6;27568;Ergo bibamus;Санкт-Петербург;Б;27768;Савицкий;Кирилл;Владимирович;0
6;27568;Ergo bibamus;Санкт-Петербург;Б;5118;Васильев;Руслан;Юрьевич;0
7;209;Команда Коваленко;Великий Новгород;Л;25985;Привалов;Кирилл;Александрович;0
7;209;Команда Коваленко;Великий Новгород;Б;15624;Корешков;Юрий;Сергеевич;0
7;209;Команда Коваленко;Великий Новгород;Б;13601;Карпинский;Виктор;Болеславович;0
7;209;Команда Коваленко;Великий Новгород;Б;25120;Плотников;Виктор;Сергеевич;0
7;209;Команда Коваленко;Великий Новгород;Б;22205;Назарова;Тина;Евгеньевна;0
7;209;Команда Коваленко;Великий Новгород;Б;32017;Торопов;Павел;Андреевич;0
7;209;Команда Коваленко;Великий Новгород;Л;29201;Синичкина;Евгения;Юрьевна;0
8;5170;Бриз-88;Санкт-Петербург;Б;35604;Шарапа;Татьяна;Станиславовна;0
8;5170;Бриз-88;Санкт-Петербург;Б;8915;Дворкин;Михаил;Эдуардович;0
8;5170;Бриз-88;Санкт-Петербург;Б;31980;Топаж;Александр;Григорьевич;0
8;5170;Бриз-88;Санкт-Петербург;Б;8635;Гутников;Аркадий;Борисович;0
8;5170;Бриз-88;Санкт-Петербург;Б;20652;Мельцина;Юлия;Олеговна;0
8;5170;Бриз-88;Санкт-Петербург;Б;31981;Топаж;Анна;Владимировна;0
9;27269;Анабасис-вектор;Санкт-Петербург;Б;5104;Васильев;Илья;Юрьевич;0
9;27269;Анабасис-вектор;Санкт-Петербург;Б;41170;Легашов;Семён;Владимирович;0
9;27269;Анабасис-вектор;Санкт-Петербург;Б;2502;Баринов;Виталий;Владимирович;0
9;27269;Анабасис-вектор;Санкт-Петербург;К;32431;Тыртычный;Алексей;Анатольевич;0
9;27269;Анабасис-вектор;Санкт-Петербург;Б;12313;Иванченко;Сергей;Леонидович;0
9;27269;Анабасис-вектор;Санкт-Петербург;Б;27499;Рыжанова;Наталия;Владимировна;0
9;27269;Анабасис-вектор;Санкт-Петербург;Б;19678;Маляренко;Александр;Сергеевич;0
10;27469;Катабасис;Санкт-Петербург;Б;12308;Иванчей;Иван;Иванович;0
10;27469;Катабасис;Санкт-Петербург;Б;15692;Корнеев;Иван;Александрович;0
10;27469;Катабасис;Санкт-Петербург;К;1043;Андреев;Алексей;Владимирович;0
10;27469;Катабасис;Санкт-Петербург;Б;5231;Вахрушева;Кира;Сергеевна;0
10;27469;Катабасис;Санкт-Петербург;Б;42357;Егорова;София;Кондратьевна;0
10;27469;Катабасис;Санкт-Петербург;Б;42355;Хомицевич;Ольга;Гурьевна;0
10;27469;Катабасис;Санкт-Петербург;Л;42356;Лысенко;Екатерина;Алексеевна;0
11;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;33032;Фёдорова;Татьяна;Евгеньевна;0
11;3883;Орден Жёлтого Дятла;Санкт-Петербург;К;37572;Григорьев;Сергей;Андреевич;0
11;3883;Орден Жёлтого Дятла;Санкт-Петербург;Л;61726;Лебедева;Серафима;Сергеевна;0
11;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;45344;Напольская;Надежда;Вячеславовна;0
11;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;54494;Ватаманюк;Ирина;Валерьевна;0
11;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;21513;Мордвина-Щодро;Ольга;Арвидовна;0
11;3883;Орден Жёлтого Дятла;Санкт-Петербург;Л;59793;Моисеев;Андрей;Сергеевич;0
12;79;Старики-разбойники;Санкт-Петербург;Б;13771;Катыхин;Георгий;Сергеевич;0
12;79;Старики-разбойники;Санкт-Петербург;Б;12987;Казённов;Пётр;Алексеевич;0
12;79;Старики-разбойники;Санкт-Петербург;Б;12659;Исаев;Владимир;Алексеевич;0
12;79;Старики-разбойники;Санкт-Петербург;Б;22392;Невидимов;Михаил;Гурьевич;0
12;79;Старики-разбойники;Санкт-Петербург;Б;13407;Караваев;Евгений;Вячеславович;0
12;79;Старики-разбойники;Санкт-Петербург;Б;2424;Баранова;Галина;Сергеевна;0
12;79;Старики-разбойники;Санкт-Петербург;К;18112;Левченко;Николай;Георгиевич;0
13;1948;Doom-Doom;Санкт-Петербург;Б;20495;Медноногова;Ирина;Игоревна;0
13;1948;Doom-Doom;Санкт-Петербург;Б;13616;Карпов;Олег;Вениаминович;0
13;1948;Doom-Doom;Санкт-Петербург;Б;28786;Серафимов;Михаил;Николаевич;0
13;1948;Doom-Doom;Санкт-Петербург;Б;23558;Орлов;Лев;Аркадьевич;0
13;1948;Doom-Doom;Санкт-Петербург;Б;4851;Вайнерман;Руфина;Юрьевна;0
14;37858;186 см логики;Санкт-Петербург;Л;3645;Богловский;Кирилл;Леонардович;0
14;37858;186 см логики;Санкт-Петербург;Л;26469;Рабин;Алексей;Владимирович;0
14;37858;186 см логики;Санкт-Петербург;К;5887;Метелица;Нина;Николаевна;0
14;37858;186 см логики;Санкт-Петербург;Б;45414;Александрова;Ольга;Игоревна;0
14;37858;186 см логики;Санкт-Петербург;Б;10418;Ерасов;Михаил;Александрович;0
14;37858;186 см логики;Санкт-Петербург;Б;10024;Дыхнова;Екатерина;Петровна;0
14;37858;186 см логики;Санкт-Петербург;Б;69943;Комин;Михаил;Олегович;0
14;37858;186 см логики;Санкт-Петербург;Б;33014;Фёдорова;Анна;Викторовна;0
15;4955;Вермишель;Санкт-Петербург;Б;37302;Якубсон;Мария;Яковлевна;0
15;4955;Вермишель;Санкт-Петербург;К;16589;Круз;Вера;Николаевна;0
15;4955;Вермишель;Санкт-Петербург;Б;37303;Якубсон;Михаил;Яковлевич;0
15;4955;Вермишель;Санкт-Петербург;Б;33604;Хазанова;Светлана;Михайловна;0
15;4955;Вермишель;Санкт-Петербург;Б;25791;Порецкий;Игорь;Борисович;0
15;4955;Вермишель;Санкт-Петербург;Б;23748;Островский;Леонид;Адольфович;0
