Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;245;Айастан;Ереван;;;;;;
2;29563;Команда Марка Григоряна;Ереван;;;;;;
3;30688;Армения-эрудит;Ереван;;;;;;
4;149;АССА;Ереван;;;;;;
"5,5";437;Арсенал;Ереван;;;;;;
"5,5";33218;Гюмри;Гюмри;;;;;;
"7,5";187;F1;Ереван;;;;;;
"7,5";33219;Лага;Ереван;;;;;;
"9,5";349;Пента;Ереван;;;;;;
"9,5";32642;Сборная ЕрГМУ;Ереван;;;;;;
