Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;1;Неспроста;Москва;Л;1585;Архангельская;Юлия;Сергеевна;0
1;1;Неспроста;Москва;К;2935;Белкин;Анатолий;Рафаилович;0
1;1;Неспроста;Москва;Б;18935;Лурье;Дмитрий;Борисович;0
1;1;Неспроста;Москва;Б;29800;Снятковский;Антон;Михайлович;0
1;1;Неспроста;Москва;Б;30152;Сорожкин;Артём;Сергеевич;0
1;1;Неспроста;Москва;Б;32979;Фёдоров;Виталий;Витальевич;0
2;5;Команда Кузьмина;Москва;Л;4063;Борок;Дмитрий;Владимирович;0
2;5;Команда Кузьмина;Москва;Л;5935;Володин;Павел;Владимирович;0
2;5;Команда Кузьмина;Москва;Б;13196;Калюков;Евгений;Юрьевич;0
2;5;Команда Кузьмина;Москва;К;17050;Кузьмин;Андрей;Викторович;0
2;5;Команда Кузьмина;Москва;Б;18036;Левандовский;Михаил;Ильич;0
2;5;Команда Кузьмина;Москва;Б;18332;Либер;Александр;Витальевич;0
2;5;Команда Кузьмина;Москва;Б;30990;Сухачёв;Пётр;Андреевич;0
2;5;Команда Кузьмина;Москва;Б;35065;Чигидин;Борис;Викторович;0
3;188;Команда Губанова;Петродворец;Б;3207;Берёзкина;Ольга;Игоревна;0
3;188;Команда Губанова;Петродворец;Б;6212;Выменец;Юрий;Яковлевич;0
3;188;Команда Губанова;Петродворец;К;8333;Губанов;Антон;Александрович;0
3;188;Команда Губанова;Петродворец;Б;20207;Матвеев;Михаил;Леонидович;0
3;188;Команда Губанова;Петродворец;Б;21487;Моносов;Борис;Яковлевич;0
3;188;Команда Губанова;Петродворец;Б;29399;Скородумов;Александр;Владимирович;0
4;670;Ксеп;Москва;Б;2694;Бахарев;Игорь;Олегович;0
4;670;Ксеп;Москва;Б;3159;Бер;Илья;Леонидович;0
4;670;Ксеп;Москва;Л;4878;Вакуленко;Сергей;Владимирович;0
4;670;Ксеп;Москва;Б;20691;Мереминский;Станислав;Григорьевич;0
4;670;Ксеп;Москва;Б;22482;Немучинский;Роман;Борисович;0
4;670;Ксеп;Москва;Б;22935;Новиков;Илья;Сергеевич;0
4;670;Ксеп;Москва;К;28513;Севриновский;Владимир;Дмитриевич;0
5;2;Афина;Москва;Б;707;Александрова;Елена;Андреевна;0
5;2;Афина;Москва;Б;13551;Карлинский;Вадим;Леонидович;0
5;2;Афина;Москва;Л;21805;Мун;Михаил;Валерьевич;0
5;2;Афина;Москва;К;25882;Поташев;Максим;Оскарович;0
5;2;Афина;Москва;Б;27403;Руссо;Максим;Михайлович;0
5;2;Афина;Москва;Б;30475;Степанов;Владимир;Владимирович;0
5;2;Афина;Москва;Б;34846;Чернин;Антон;Анатольевич;0
6;6000;Понаехали;сборная;Л;7008;Гилёв;Алексей;Владимирович;0
6;6000;Понаехали;сборная;Б;8868;Даровских;Сергей;Александрович;0
6;6000;Понаехали;сборная;Б;19541;Малкин;Михаил;Леонидович;0
6;6000;Понаехали;сборная;Б;22799;Николенко;Сергей;Игоревич;0
6;6000;Понаехали;сборная;К;30270;Спешков;Сергей;Леонидович;0
6;6000;Понаехали;сборная;Б;36673;Шумаков;Андрей;Леонидович;0
7;173;ЮМА;Санкт-Петербург;К;5526;Виватенко;Сергей;Валентинович;0
7;173;ЮМА;Санкт-Петербург;Б;14259;Кисленкова;Елена;Владимировна;0
7;173;ЮМА;Санкт-Петербург;Б;18686;Локшин;Михаил;Давидович;0
7;173;ЮМА;Санкт-Петербург;Б;20260;Русакова;Дарья;Юрьевна;0
7;173;ЮМА;Санкт-Петербург;Б;21713;Мотрич;Дмитрий;Вадимович;0
7;173;ЮМА;Санкт-Петербург;Л;25288;Подоляк;Жанна;Иосифовна;0
7;173;ЮМА;Санкт-Петербург;Б;35385;Шагал;Эдуард;Александрович;0
"9,5";26;ЛКИ;Москва;Б;3083;Белявский;Дмитрий;Михайлович;0
"9,5";26;ЛКИ;Москва;Б;4270;Брутер;Александра;Владимировна;0
"9,5";26;ЛКИ;Москва;Б;12770;Иткин;Илья;Борисович;0
"9,5";26;ЛКИ;Москва;К;18198;Ленский;Андрей;Юрьевич;0
"9,5";26;ЛКИ;Москва;Б;27177;Ромашова;Вероника;Михайловна;0
"9,5";26;ЛКИ;Москва;Л;28751;Семушин;Иван;Николаевич;0
"9,5";26;ЛКИ;Москва;Б;34219;Христенко;Олег;Богданович;0
"9,5";299;Команда Гусейнова;Баку;Б;59;Абдулла;Руфат;Чингиз оглы;0
"9,5";299;Команда Гусейнова;Баку;Б;323;Агаев;Заур;Фуад оглы;0
"9,5";299;Команда Гусейнова;Баку;Б;475;Азизова;Джамиля;;0
"9,5";299;Команда Гусейнова;Баку;К;8610;Гусейнов;Фаик;Мирза Гусейн оглы;0
"9,5";299;Команда Гусейнова;Баку;Б;19170;Мадатов;Эмиль;Борисович;0
"9,5";299;Команда Гусейнова;Баку;Б;23537;Оркодашвили;Роман;Александрович;0
"9,5";641;Братья;Тель-Авив;Б;12747;Исраэлит;Валентин;Наумович;0
"9,5";641;Братья;Тель-Авив;Б;18160;Лейбман;Олег;;0
"9,5";641;Братья;Тель-Авив;Б;25284;Подольный;Яков;Моисеевич;0
"9,5";641;Братья;Тель-Авив;Б;31190;Тальянский;Илья;Николаевич;0
"9,5";641;Братья;Тель-Авив;Б;33456;Фрадис;Михаил;Дмитриевич;0
"9,5";641;Братья;Тель-Авив;Л;38003;Левитас;Александр;Михайлович;0
"9,5";1961;Хунта;Минск;Б;4417;Сиротко;Наталья;Алексеевна;0
"9,5";1961;Хунта;Минск;Б;5943;Володченко;Анатолий;Дмитриевич;0
"9,5";1961;Хунта;Минск;Б;9785;Дронов;Владислав;Геннадьевич;0
"9,5";1961;Хунта;Минск;Б;32004;Топчий;Иван;Александрович;0
"9,5";1961;Хунта;Минск;Б;36304;Шишко;Ольга;Васильевна;0
"9,5";1961;Хунта;Минск;К;36305;Шишко;Сергей;Георгиевич;0
