Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;39392;МУБКашки;Москва;Л;42511;Некрылов;Николай;Андреевич;0
1;39392;МУБКашки;Москва;Л;54063;Шишкина;Мария;Александровна;0
1;39392;МУБКашки;Москва;Л;3438;Биткин;Игорь;Владимирович;0
1;39392;МУБКашки;Москва;Л;38458;Лобкова;Екатерина;Владимировна;0
1;39392;МУБКашки;Москва;Л;12448;Иешкин;Алексей;Евгеньевич;0
3;2059;Dixi;Астрахань;К;4386;Буйлов;Константин;Витальевич;0
3;2059;Dixi;Астрахань;Б;4382;Бузычкин;Сергей;Владимирович;0
3;2059;Dixi;Астрахань;Б;37544;Бодров;Александр;Дмитриевич;0
3;2059;Dixi;Астрахань;Б;12505;Ильин;Григорий;Александрович;0
3;2059;Dixi;Астрахань;Б;902;Аловердиев;Руслан;Растямович;0
3;2059;Dixi;Астрахань;Л;12845;Кабин;Александр;Валерьевич;0
3;2702;Прометей;Ивантеевка;Б;46355;Назина;Юлия;Васильевна;0
3;2702;Прометей;Ивантеевка;Б;34728;Червинский;Сергей;Александрович;0
3;2702;Прометей;Ивантеевка;Л;27622;Рябых;Николай;Георгиевич;0
3;2702;Прометей;Ивантеевка;К;11608;Зебрев;Владимир;Юрьевич;0
3;2702;Прометей;Ивантеевка;Л;46339;Волосатов;Антон;Валерьевич;0
3;2702;Прометей;Ивантеевка;Б;46340;Болотова;Алла;Юрьевна;0
3;7718;Биркиркара;Москва;Б;3843;Бомешко;Светлана;Борисовна;0
3;7718;Биркиркара;Москва;Б;33119;Федяков;Павел;Геннадьевич;0
3;7718;Биркиркара;Москва;Л;18009;Лебедева;Екатерина;Андреевна;0
3;7718;Биркиркара;Москва;К;13689;Карякин;Дмитрий;Александрович;0
3;7718;Биркиркара;Москва;Л;28513;Севриновский;Владимир;Дмитриевич;0
3;7718;Биркиркара;Москва;Б;2421;Самойлова;Ася;Сергеевна;0
3;7718;Биркиркара;Москва;Б;29800;Снятковский;Антон;Михайлович;0
5;1902;Гросс-бух;Москва;Б;24290;Пастухова;Мария;Владимировна;0
5;1902;Гросс-бух;Москва;Б;26465;Штефан;Елизавета;Германовна;0
5;1902;Гросс-бух;Москва;Л;32047;Точилина;Евгения;Олеговна;0
5;1902;Гросс-бух;Москва;К;10339;Еловенко;Дмитрий;Валентинович;0
5;1902;Гросс-бух;Москва;Л;15051;Коколия;Георгий;Владимирович;0
5;1902;Гросс-бух;Москва;Б;36568;Штефан;Андрей;Валериевич;0
6;37583;Джамахерия;Москва;Л;19411;Максименко;Станислав;Владимирович;0
6;37583;Джамахерия;Москва;Б;7822;Горохова;Людмила;Владимировна;0
6;37583;Джамахерия;Москва;Л;33509;Фролов;Иван;Александрович;0
6;37583;Джамахерия;Москва;Б;37691;Митрофанов;Иван;Александрович;0
6;37583;Джамахерия;Москва;Б;15472;Кононенко;Евгений;Иванович;0
6;37583;Джамахерия;Москва;Б;19623;Малько;Алёна;Валерьевна;0
"7,5";205;БН;Курск;Б;36227;Широбоков;Николай;Александрович;0
"7,5";205;БН;Курск;Б;16858;Кузиков;Роман;Игоревич;0
"7,5";205;БН;Курск;Б;20640;Мельникова;Ольга;Андреевна;0
"7,5";3960;Концептуальный респект;Зеленоград;Б;18286;Летучий;Яков;Борисович;0
"7,5";3960;Концептуальный респект;Зеленоград;К;37865;Терёхин;Филипп;Алексеевич;0
"7,5";3960;Концептуальный респект;Зеленоград;Б;37866;Кузнецов;Степан;Львович;0
"7,5";3960;Концептуальный респект;Зеленоград;Б;37604;Иванов;Денис;Сергеевич;0
"7,5";3960;Концептуальный респект;Зеленоград;Л;16338;Красильников;Алексей;Владимирович;0
"7,5";3960;Концептуальный респект;Зеленоград;Б;25971;Преображенский;Алексей;Николаевич;0
10;245;Айастан;Ереван;Б;278;Аветисян;Араик;Самвелович;0
10;245;Айастан;Ереван;Б;19565;Малоян;Вааг;Анриевич;0
10;245;Айастан;Ереван;Б;20345;Махмурян;Ева;Ашотовна;0
10;245;Айастан;Ереван;Л;24757;Петросян;Артём;Микаэлович;0
10;245;Айастан;Ереван;Б;31349;Татоян;Роберт;Арамаисович;0
10;245;Айастан;Ереван;Б;639;Алавердян;Арутюн;Рудикович;0
10;5694;Могучая кучка;Москва;Б;4894;Валеев;Эльмир;Дамирович;0
10;5694;Могучая кучка;Москва;Б;10118;Евдокимов;Сергей;Геннадьевич;0
10;5694;Могучая кучка;Москва;Б;7940;Грановская;Инна;Михайловна;0
10;5694;Могучая кучка;Москва;Б;17750;Лазарева;Галина;Вячеславовна;0
10;5694;Могучая кучка;Москва;Б;14699;Костягина;Вера;Анатольевна;0
10;5694;Могучая кучка;Москва;Б;30879;Супранович;Андрей;Александрович;0
10;8824;Дерзновенье;Томск;Б;18600;Лобода;Юлия;Олеговна;0
10;8824;Дерзновенье;Томск;Л;30849;Султанов;Руслан;Болатович;0
10;8824;Дерзновенье;Томск;Б;29637;Смирнов;Михаил;Алексеевич;0
10;8824;Дерзновенье;Томск;Л;61432;Беккерман;Екатерина;Николаевна;0
10;8824;Дерзновенье;Томск;К;9801;Дружинин;Егор;Александрович;0
10;8824;Дерзновенье;Томск;Б;31694;Тисленко;Евгений;Иванович;0
14;266;Орден Водяной Вороны;Краснодар;Б;4579;Бурова;Юлия;Леонидовна;0
14;266;Орден Водяной Вороны;Краснодар;Б;17197;Кулешова;Изабелла;Игоревна;0
14;266;Орден Водяной Вороны;Краснодар;К;28582;Селиванов;Игорь;Олегович;0
14;266;Орден Водяной Вороны;Краснодар;Б;25632;Пономаренко;Екатерина;Николаевна;0
14;266;Орден Водяной Вороны;Краснодар;Б;25631;Пономаренко;Евгений;Валерьевич;0
14;266;Орден Водяной Вороны;Краснодар;Б;35828;Шевалдин;Дмитрий;Сергеевич;0
14;2919;Чёрный мерин;Штутгарт;К;24955;Пинский;Юрий;Викторович;0
14;2919;Чёрный мерин;Штутгарт;Л;9834;Дубинская;Ольга;Игоревна;0
14;2919;Чёрный мерин;Штутгарт;Б;3154;Бенке;Марина;Эрнстовна;0
14;2919;Чёрный мерин;Штутгарт;Б;51706;Бондарева;Людмила;Леонидовна;0
14;2919;Чёрный мерин;Штутгарт;Б;8639;Гуфан;Илья;Сергеевич;0
14;2919;Чёрный мерин;Штутгарт;Б;51693;Сивак;Виктор;Михайлович;0
14;3269;Всё дело в перце;Санкт-Петербург;К;21233;Михлин;Леонид;Станиславович;0
14;3269;Всё дело в перце;Санкт-Петербург;Б;21931;Мустафин;Арсений;Анатольевич;0
14;3269;Всё дело в перце;Санкт-Петербург;Л;36920;Элинсон;Татьяна;Александровна;0
14;3269;Всё дело в перце;Санкт-Петербург;Б;18855;Лукин;Ярослав;Николаевич;0
14;3269;Всё дело в перце;Санкт-Петербург;Б;40631;Кочнева;Наталья;Сергеевна;0
14;3269;Всё дело в перце;Санкт-Петербург;Л;9342;Дидбаридзе;Юлия;Амираниевна;0
