Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;28673;Команда Мороховского;Одесса;Л;21632;Морозовский;Роман;Григорьевич;0
1;28673;Команда Мороховского;Одесса;Л;49162;Богатырёва;Татьяна;Васильевна;0
1;28673;Команда Мороховского;Одесса;Л;5195;Вассерман;Анатолий;Александрович;0
1;28673;Команда Мороховского;Одесса;Л;55074;Бурда;Борис;Оскарович;0
1;28673;Команда Мороховского;Одесса;Л;18809;Луговская;Татьяна;Валентиновна;0
1;28673;Команда Мороховского;Одесса;Л;21631;Морозовская;Ирина;Борисовна;0
2;540;Стирол;Горловка;Л;17064;Кузьмин;Игорь;Михайлович;0
2;540;Стирол;Горловка;Л;18053;Левин;Борис;Ефимович;0
2;540;Стирол;Горловка;Л;26016;Пристинский;Владислав;Леонидович;0
2;540;Стирол;Горловка;Л;49173;Кондарев;Александр;;0
2;540;Стирол;Горловка;Л;49174;Сименко;Илья;;0
2;540;Стирол;Горловка;Л;10946;Жовнер;Николай;Сергеевич;0
3;168;Хонка;Санкт-Петербург;;;;;;
4;29247;Порт Южный;Одесса;;;;;;
5;200;ОНУ им. Мечникова;Одесса;;;;;;
6;5;Команда Кузьмина;Москва;;;;;;
7;312;Социал-демократы;Москва;;;;;;
8;1;Неспроста;Москва;Л;2935;Белкин;Анатолий;Рафаилович;0
8;1;Неспроста;Москва;Л;3270;Бершидский;Юрий;Германович;0
8;1;Неспроста;Москва;Л;2942;Белкина;Анна;Анатольевна;0
8;1;Неспроста;Москва;Л;1560;Арутюнов;Евгений;Наполеонович;0
8;1;Неспроста;Москва;Л;18935;Лурье;Дмитрий;Борисович;0
8;1;Неспроста;Москва;Л;32979;Фёдоров;Виталий;Витальевич;0
9;202;ОК;Харьков;;;;;;
10;29640;Сливки;Харьков;;;;;;
11;192;Фарлеп-Гамбринус;Одесса;;;;;;
12;255;Автоленд;Днепр (Днепропетровск);;;;;;
13;304;Элефант;Днепр (Днепропетровск);;;;;;
14;173;ЮМА;Санкт-Петербург;;;;;;
15;293;Чёрная кошка;Киев;;;;;;
16;1931;Москито;Киев;;;;;;
17;230;Команда Евгении Канищевой;Симферополь;;;;;;
18;26956;Приматы;Днепр (Днепропетровск);;;;;;
19;210;От Винта - Братья по фазе;Харьков;;;;;;
20;383;Тёмная лошадка;Киев;;;;;;
21;277;Кредо;Симферополь;;;;;;
22;402;Свой круг;Симферополь;;;;;;
23;1324;Золотой лев;Киев;;;;;;
24;26955;Форс-мажор;Харьков;;;;;;
25;29639;Донбасс;Донецк;;;;;;
26;29830;Футбол-ТБШ;Киев;;;;;;
27;29268;Команда Винницы;Винница;;;;;;
28;1023;Сателлит;Тернополь;;;;;;
"29,5";556;Пилигрим;Одесса;;;;;;
"29,5";6171;Стирол-Фарм;Киев;;;;;;
31;550;Шанс;Полтава;;;;;;
32;39848;Клио-Смак;Нежин;;;;;;
33;29261;Золотая амфора;Днепр (Днепропетровск);;;;;;
34;29394;Маккаби;Днепр (Днепропетровск);;;;;;
35;30051;Луганск-1;Луганск;;;;;;
36;3948;Ривнэ;Ровно;;;;;;
37;30052;КарДел;Ивано-Франковск;;;;;;
38;26969;Проект Геркулес;Кропивницкий (Кировоград);;;;;;
39;561;Мозговой штурм;Мариуполь;;;;;;
40;29269;Артедем;Черновцы;;;;;;
41;29567;Тральфамадор;Батуми;;;;;;
42;30053;Alarma;Харьков;;;;;;
43;29331;Double Zero;Запорожье;;;;;;
