Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;42417;Карасс Кнопа;сборная;Л;33667;Халиков;Айдар;Рустамович;0
1;42417;Карасс Кнопа;сборная;Л;9015;Деменев;Константин;Сергеевич;0
1;42417;Карасс Кнопа;сборная;Л;15727;Коробейников;Александр;Геннадьевич;0
1;42417;Карасс Кнопа;сборная;Л;32628;Умеров;Мустафа;Османович;0
2;42555;Круче только ейцы;сборная;Л;10288;Езерский;Сергей;Степанович;0
2;42555;Круче только ейцы;сборная;Л;29201;Синичкина;Евгения;Юрьевна;0
2;42555;Круче только ейцы;сборная;Л;29973;Солахян;Павел;Викторович;0
2;42555;Круче только ейцы;сборная;Л;34335;Царегородцев;Роман;Олегович;0
2;42555;Круче только ейцы;сборная;Л;3438;Биткин;Игорь;Владимирович;0
2;42555;Круче только ейцы;сборная;Л;36502;Шорин;Сергей;Александрович;0
"3,5";407;Тачанка;Ростов-на-Дону;Л;17860;Лаптев;Игорь;Александрович;0
"3,5";407;Тачанка;Ростов-на-Дону;Л;10695;Ефремов;Иван;Николаевич;0
"3,5";407;Тачанка;Ростов-на-Дону;Б;10816;Жегуло;Ольга;Анатольевна;0
"3,5";407;Тачанка;Ростов-на-Дону;Б;60149;Челышев;Сергей;Михайлович;0
"3,5";407;Тачанка;Ростов-на-Дону;Б;26173;Прохин;Алексей;Викторович;0
"3,5";407;Тачанка;Ростов-на-Дону;Б;2933;Беличенко;Лилия;Александровна;0
"3,5";6874;Церебрум;Москва;Л;23845;Павлов;Владимир;Евгеньевич;0
"3,5";6874;Церебрум;Москва;Л;6965;Гершберг;Полина;Вадимовна;0
"3,5";6874;Церебрум;Москва;Б;36035;Шередега;Алексей;Владимирович;0
"3,5";6874;Церебрум;Москва;Б;32919;Фаттахов;Булат;Радифович;0
"3,5";6874;Церебрум;Москва;Б;31848;Тобенгауз;Александр;Маркович;0
"3,5";6874;Церебрум;Москва;Б;10509;Ермишкин;Александр;Константинович;0
6;797;Дилетанты;Воронеж;Б;25181;Поволоцкая;Ольга;Евгеньевна;0
6;797;Дилетанты;Воронеж;Л;12307;Иванцова;Светлана;Сергеевна;0
6;797;Дилетанты;Воронеж;Б;37746;Романов;Александр;Вячеславович;0
6;797;Дилетанты;Воронеж;Б;26205;Проценко;Константин;Игоревич;0
6;797;Дилетанты;Воронеж;Б;20869;Минаков;Андрей;Витальевич;0
6;797;Дилетанты;Воронеж;Л;5248;Вашурин;Станислав;Владимирович;0
6;4225;Соло;Ейск;Б;9345;Диденко;Алексей;Иванович;0
6;4225;Соло;Ейск;Б;8495;Гураль;Елена;Александровна;0
6;4225;Соло;Ейск;Б;4155;Брагин;Николай;Анатольевич;0
6;4225;Соло;Ейск;Б;19456;Макухин;Николай;Николаевич;0
6;4225;Соло;Ейск;Л;29178;Синельников;Даниил;Ярославович;0
6;4225;Соло;Ейск;К;6438;Гайдуков;Евгений;Александрович;0
6;10434;Шесть в большом городе;Воронеж;Л;35857;Шевцов;Олег;Олегович;0
6;10434;Шесть в большом городе;Воронеж;Б;23290;Эйхгольц;Мария;Викторовна;0
6;10434;Шесть в большом городе;Воронеж;Б;36910;Эйхгольц;Иван;Александрович;0
6;10434;Шесть в большом городе;Воронеж;Б;22155;Назаренко;Евгений;Юрьевич;0
6;10434;Шесть в большом городе;Воронеж;Б;19099;Ляпин;Евгений;Вячеславович;0
6;10434;Шесть в большом городе;Воронеж;К;34476;Цуркан;Роман;Михайлович;0
"8,5";595;323 рубля;Ростов-на-Дону;Л;25674;Попов;Андрей;Александрович;0
"8,5";595;323 рубля;Ростов-на-Дону;Б;25331;Позняк;Денис;Владимирович;0
"8,5";595;323 рубля;Ростов-на-Дону;К;19585;Малыхин;Григорий;Юрьевич;0
"8,5";595;323 рубля;Ростов-на-Дону;Б;16903;Кузнецов;Даниил;Александрович;0
"8,5";595;323 рубля;Ростов-на-Дону;Л;5399;Верескун;Анастасия;Андреевна;0
"8,5";595;323 рубля;Ростов-на-Дону;Б;2910;Беленко;Екатерина;Ильинична;0
"8,5";1738;Форс-мажор;Краснодар;Л;61844;Кутепов;Виталий;Сергеевич;0
"8,5";1738;Форс-мажор;Краснодар;Б;38155;Шепелев;Сергей;Викторович;0
"8,5";1738;Форс-мажор;Краснодар;Б;23203;Овсянкин;Сергей;Александрович;0
"8,5";1738;Форс-мажор;Краснодар;Б;38168;Карачун;Максим;Игоревич;0
"8,5";1738;Форс-мажор;Краснодар;Б;1192;Анисимович;Олег;Сергеевич;0
"8,5";1738;Форс-мажор;Краснодар;Б;28924;Серопян;Михаил;Хачатурович;0
10;26938;Бетонные cырники;сборная;Л;30207;Сосенко;Екатерина;Анатольевна;0
10;26938;Бетонные cырники;сборная;Л;29655;Смирнов;Ярослав;Юрьевич;0
10;26938;Бетонные cырники;сборная;Л;1513;Губаева;Людмила;Александровна;0
10;26938;Бетонные cырники;сборная;Л;29767;Сморщков;Павел;Анатольевич;0
10;26938;Бетонные cырники;сборная;Л;29399;Скородумов;Александр;Владимирович;0
10;26938;Бетонные cырники;сборная;Л;30352;Стариков;Иван;Юрьевич;0
11;27106;Потрошить;Краснодар;Л;15015;Козлякова;Татьяна;Николаевна;0
11;27106;Потрошить;Краснодар;Л;29800;Снятковский;Антон;Михайлович;0
11;27106;Потрошить;Краснодар;Б;10678;Ефимцов;Андрей;Борисович;0
11;27106;Потрошить;Краснодар;Б;5004;Варнавский;Иннокентий;Игоревич;0
11;27106;Потрошить;Краснодар;Б;38114;Веприк;Анна;Ивановна;0
11;27106;Потрошить;Краснодар;Б;5483;Веселов;Иван;Сергеевич;0
13;6856;Руки Суареса;Екатеринбург;Л;26255;Пряничников;Степан;Викторович;0
13;6856;Руки Суареса;Екатеринбург;Л;21913;Мусихин;Антон;Михайлович;0
13;6856;Руки Суареса;Екатеринбург;Б;7455;Голубцов;Денис;Владимирович;0
13;6856;Руки Суареса;Екатеринбург;Б;6535;Галкин;Сергей;Валерьевич;0
13;6856;Руки Суареса;Екатеринбург;Б;3178;Бердышев;Игорь;Владимирович;0
