Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;26;ЛКИ;Москва;Л;1000;Виниченко;Анна;Владимировна;0
1;26;ЛКИ;Москва;Л;34219;Христенко;Олег;Богданович;0
1;26;ЛКИ;Москва;Л;20691;Мереминский;Станислав;Григорьевич;0
1;26;ЛКИ;Москва;Б;27403;Руссо;Максим;Михайлович;0
1;26;ЛКИ;Москва;Б;4270;Брутер;Александра;Владимировна;0
1;26;ЛКИ;Москва;К;28751;Семушин;Иван;Николаевич;0
2;7718;Биркиркара;Москва;Л;52184;Антипов;Дмитрий;Юрьевич;0
2;7718;Биркиркара;Москва;Л;20121;Марьянский;Андрей;Юрьевич;0
2;7718;Биркиркара;Москва;Б;29800;Снятковский;Антон;Михайлович;0
2;7718;Биркиркара;Москва;Б;2421;Самойлова;Ася;Сергеевна;0
2;7718;Биркиркара;Москва;Б;3843;Бомешко;Светлана;Борисовна;0
2;7718;Биркиркара;Москва;К;13689;Карякин;Дмитрий;Александрович;0
3;312;Социал-демократы;Москва;Л;3207;Берёзкина;Ольга;Игоревна;0
3;312;Социал-демократы;Москва;Л;9785;Дронов;Владислав;Геннадьевич;0
3;312;Социал-демократы;Москва;Б;15964;Костенко;Дарья;Васильевна;0
3;312;Социал-демократы;Москва;Б;25724;Попов;Юрий;Валерьевич;0
3;312;Социал-демократы;Москва;Б;30152;Сорожкин;Артём;Сергеевич;0
3;312;Социал-демократы;Москва;К;19599;Малышев;Павел;Михайлович;0
4;188;Команда Губанова;Петродворец;Б;21487;Моносов;Борис;Яковлевич;0
4;188;Команда Губанова;Петродворец;Б;20207;Матвеев;Михаил;Леонидович;0
4;188;Команда Губанова;Петродворец;Л;14025;Киланова;Александра;Сергеевна;0
4;188;Команда Губанова;Петродворец;Б;7008;Гилёв;Алексей;Владимирович;0
4;188;Команда Губанова;Петродворец;Б;6212;Выменец;Юрий;Яковлевич;0
4;188;Команда Губанова;Петродворец;К;8333;Губанов;Антон;Александрович;0
5;38438;Негодный буцентавр;сборная;Л;12401;Игнатенков;Егор;Николаевич;0
5;38438;Негодный буцентавр;сборная;Л;15456;Коновалов;Сергей;Владимирович;0
5;38438;Негодный буцентавр;сборная;Л;18132;Лёгенький;Николай;Леонидович;0
5;38438;Негодный буцентавр;сборная;Л;33806;Харитонова;Татьяна;Викторовна;0
5;38438;Негодный буцентавр;сборная;Л;16837;Кудряшова;Наталья;Алексеевна;0
5;38438;Негодный буцентавр;сборная;Л;505;Айзятулова;Иделия;Мукадясовна;0
6;8318;ProjeKCt 35;сборная;Л;24384;Пашковский;Евгений;Александрович;0
6;8318;ProjeKCt 35;сборная;Л;27989;Салита;Александр;Евгеньевич;0
6;8318;ProjeKCt 35;сборная;Л;15778;Королёв;Алексей;Владимирович;0
6;8318;ProjeKCt 35;сборная;Л;15727;Коробейников;Александр;Геннадьевич;0
6;8318;ProjeKCt 35;сборная;Л;16695;Крюков;Дмитрий;Викторович;0
"7,5";209;Команда Коваленко;Великий Новгород;Б;25120;Плотников;Виктор;Сергеевич;0
"7,5";209;Команда Коваленко;Великий Новгород;Б;22205;Назарова;Тина;Евгеньевна;0
"7,5";209;Команда Коваленко;Великий Новгород;Б;15624;Корешков;Юрий;Сергеевич;0
"7,5";209;Команда Коваленко;Великий Новгород;Б;13601;Карпинский;Виктор;Болеславович;0
"7,5";209;Команда Коваленко;Великий Новгород;К;19298;Макаров;Владлен;Иванович;0
"7,5";3951;Eclipse;Санкт-Петербург;Б;19060;Людикайнен;Александр;Александрович;0
"7,5";3951;Eclipse;Санкт-Петербург;Л;20025;Мартынова;Анастасия;Алексеевна;0
"7,5";3951;Eclipse;Санкт-Петербург;Л;5522;Вешняков;Алексей;Владимирович;0
"7,5";3951;Eclipse;Санкт-Петербург;Б;29399;Скородумов;Александр;Владимирович;0
"7,5";3951;Eclipse;Санкт-Петербург;Б;15811;Король;Владислав;Валерьевич;0
"7,5";3951;Eclipse;Санкт-Петербург;К;23020;Новыш;Наталия;Васильевна;0
"9,5";1841;Ноев ковчег;Санкт-Петербург;Л;37718;Петров;Дмитрий;Николаевич;0
"9,5";1841;Ноев ковчег;Санкт-Петербург;Б;17027;Кузьма;Ольга;Александровна;0
"9,5";1841;Ноев ковчег;Санкт-Петербург;Л;16939;Кузнецов;Сергей;Владимирович;0
"9,5";1841;Ноев ковчег;Санкт-Петербург;Б;37573;Григорьева;Наталья;Никифоровна;0
"9,5";1841;Ноев ковчег;Санкт-Петербург;Б;8015;Гречаниченко;Юрий;Дмитриевич;0
"9,5";1841;Ноев ковчег;Санкт-Петербург;Б;17025;Кузьма;Андрей;Валерьевич;0
"9,5";2073;НВ;Санкт-Петербург;Б;32652;Урбанович;Иван;Александрович;0
"9,5";2073;НВ;Санкт-Петербург;Б;30863;Суманеев;Иван;Андреевич;0
"9,5";2073;НВ;Санкт-Петербург;Б;22775;Николаева;Анастасия;Максимовна;0
"9,5";2073;НВ;Санкт-Петербург;Б;12318;Иваньков;Никита;Михайлович;0
"9,5";2073;НВ;Санкт-Петербург;Б;6207;Выдревич;Марианна;Михайловна;0
"9,5";2073;НВ;Санкт-Петербург;К;15595;Кораблина;Кристина;Олеговна;0
12;6424;South Butovo Park;Москва;Б;30879;Супранович;Андрей;Александрович;0
12;6424;South Butovo Park;Москва;Б;29943;Соколова;Ирина;Сергеевна;0
12;6424;South Butovo Park;Москва;Б;29767;Сморщков;Павел;Анатольевич;0
12;6424;South Butovo Park;Москва;Б;28019;Сальников;Дмитрий;Евгеньевич;0
12;6424;South Butovo Park;Москва;Б;23737;Островский;Андрей;Вячеславович;0
12;6424;South Butovo Park;Москва;Б;36120;Шибанов;Серафим;Александрович;0
12;26730;Мишки-Плутишки;Санкт-Петербург;Л;32777;Уточкин;Павел;Сергеевич;0
12;26730;Мишки-Плутишки;Санкт-Петербург;Л;20001;Мартынов;Александр;Ефимович;0
12;26730;Мишки-Плутишки;Санкт-Петербург;Б;41200;Рыженков;Андрей;Сергеевич;0
12;26730;Мишки-Плутишки;Санкт-Петербург;Б;31260;Тарасов;Андрей;Даниилович;0
12;26730;Мишки-Плутишки;Санкт-Петербург;Б;24630;Петриленков;Егор;Олегович;0
12;26730;Мишки-Плутишки;Санкт-Петербург;К;5746;Влахов;Андриан;Викторович;0
12;27177;Призраки Коши;Санкт-Петербург;Л;32207;Колышкина;Мария;Сергеевна;0
12;27177;Призраки Коши;Санкт-Петербург;Л;15273;Колышкин;Александр;Викторович;0
12;27177;Призраки Коши;Санкт-Петербург;Б;31493;Терентьев;Сергей;Александрович;0
12;27177;Призраки Коши;Санкт-Петербург;Б;30371;Старовойт;Юрий;Иванович;0
12;27177;Призраки Коши;Санкт-Петербург;Б;40635;Балабан;Александра;Владимировна;0
12;27177;Призраки Коши;Санкт-Петербург;К;34644;Чеботкова;Надежда;Сергеевна;0
"14,5";3630;Alter orbis;Тверь;Л;29700;Смирнова;Мария;Сергеевна;0
"14,5";3630;Alter orbis;Тверь;Л;12892;Кадочников;Павел;Олегович;0
"14,5";3630;Alter orbis;Тверь;Б;37524;Алексеев;Максим;Алексеевич;0
"14,5";3630;Alter orbis;Тверь;Б;5440;Верпатова;Оксана;Юрьевна;0
"14,5";3630;Alter orbis;Тверь;Б;16574;Круглов;Александр;Александрович;0
"14,5";3630;Alter orbis;Тверь;Б;27528;Рыжова;Катерина;Михайловна;0
"14,5";39662;Carmen Horrendum;Москва;Л;3438;Биткин;Игорь;Владимирович;0
"14,5";39662;Carmen Horrendum;Москва;Л;29887;Соколов;Андрей;Андреевич;0
"14,5";39662;Carmen Horrendum;Москва;Л;11013;Жукова;Ирина;Анатольевна;0
"14,5";39662;Carmen Horrendum;Москва;Л;32475;Тюрина;Людмила;Сергеевна;0
"14,5";39662;Carmen Horrendum;Москва;Л;10083;Дягилев;Дмитрий;Андреевич;0
"14,5";39662;Carmen Horrendum;Москва;Л;2382;Барабаш;Михаил;Анатольевич;0
16;3213;Дикие бозоны Хиггса;Санкт-Петербург;Л;7119;Глазовский;Арсений;Андреевич;0
16;3213;Дикие бозоны Хиггса;Санкт-Петербург;Л;56647;Горелова;Наталья;Евгеньевна;0
16;3213;Дикие бозоны Хиггса;Санкт-Петербург;Б;48348;Рыжок;Михаил;Сергеевич;0
16;3213;Дикие бозоны Хиггса;Санкт-Петербург;Б;7773;Горкальцева;Наталья;Александровна;0
16;3213;Дикие бозоны Хиггса;Санкт-Петербург;Б;16621;Крутиков;Александр;Олегович;0
"17,5";23;16 тонн;Зеленоград;Л;3423;Петрова;Юлия;Владимировна;0
"17,5";23;16 тонн;Зеленоград;Л;29775;Смыслов;Григорий;Юрьевич;0
"17,5";23;16 тонн;Зеленоград;Б;25839;Шишкова;Ирина;Анатольевна;0
"17,5";23;16 тонн;Зеленоград;Б;20409;Машеров;Евгений;Леонидович;0
"17,5";23;16 тонн;Зеленоград;К;8471;Гуляев;Роман;Юрьевич;0
"17,5";28589;Дилемма United;сборная;Л;26239;Трутнев;Олег;Сергеевич;0
"17,5";28589;Дилемма United;сборная;Л;16706;Семушина;Нина;Игоревна;0
"17,5";28589;Дилемма United;сборная;Л;5990;Волыхов;Андрей;Александрович;0
"17,5";28589;Дилемма United;сборная;Л;36581;Штратникова;Виктория;Юрьевна;0
"17,5";28589;Дилемма United;сборная;Л;4121;Бочкарёв;Антон;Алексеевич;0
"17,5";28589;Дилемма United;сборная;К;8505;Гуревич;Борис;Львович;0
19;5170;Бриз-88;Санкт-Петербург;Л;2620;Басс;Михаил;Григорьевич;0
19;5170;Бриз-88;Санкт-Петербург;Б;31983;Топаж;Мария;Александровна;0
19;5170;Бриз-88;Санкт-Петербург;Б;20652;Мельцина;Юлия;Олеговна;0
19;5170;Бриз-88;Санкт-Петербург;Б;35604;Шарапа;Татьяна;Станиславовна;0
19;5170;Бриз-88;Санкт-Петербург;Б;8635;Гутников;Аркадий;Борисович;0
19;5170;Бриз-88;Санкт-Петербург;Б;31981;Топаж;Анна;Владимировна;0
19;5170;Бриз-88;Санкт-Петербург;Б;31980;Топаж;Александр;Григорьевич;0
20;6432;InterzaNOza;Даугавпилс;Л;33506;Фролов;Дмитрий;Николаевич;0
20;6432;InterzaNOza;Даугавпилс;Л;1517;Арташов;Евгений;Андреевич;0
20;6432;InterzaNOza;Даугавпилс;Б;27497;Рыжанов;Александр;Семёнович;0
20;6432;InterzaNOza;Даугавпилс;Б;13001;Казюкевич;Андрис;Станиславович;0
20;6432;InterzaNOza;Даугавпилс;Б;2066;Бадина;Эвита;Яновна;0
20;6432;InterzaNOza;Даугавпилс;Б;2065;Бадин;Жан;Евгеньевич;0
20;6432;InterzaNOza;Даугавпилс;Б;27860;Садовский;Максим;Анатольевич;0
21;321;Уездный доктор;Тверь;Б;16014;Костюков;Игорь;Борисович;0
21;321;Уездный доктор;Тверь;Б;14812;Ковылов;Алексей;Олегович;0
21;321;Уездный доктор;Тверь;Л;14785;Коврижкина;Мария;Михайловна;0
21;321;Уездный доктор;Тверь;Б;1739;Атрощенко;Анна;Анатольевна;0
21;321;Уездный доктор;Тверь;Б;19543;Малкин;Сергей;Николаевич;0
"22,5";4437;Без комментариев;Москва;Л;22242;Накладова;Ксения;Александровна;0
"22,5";4437;Без комментариев;Москва;Л;15526;Конькова;Елена;Александровна;0
"22,5";4437;Без комментариев;Москва;Б;23079;Носова;Мария;Андреевна;0
"22,5";4437;Без комментариев;Москва;Б;22645;Никитенко;Денис;Валентинович;0
"22,5";4437;Без комментариев;Москва;К;2888;Бекчинтаев;Айдар;Маратович;0
"22,5";39901;2916;сборная;Л;5104;Васильев;Илья;Юрьевич;0
"22,5";39901;2916;сборная;Л;26325;Путилова;Надежда;Владимировна;0
"22,5";39901;2916;сборная;Л;32431;Тыртычный;Алексей;Анатольевич;0
"22,5";39901;2916;сборная;Л;27499;Рыжанова;Наталия;Владимировна;0
"22,5";39901;2916;сборная;Л;30650;Стрельников;Сергей;Александрович;0
"22,5";39901;2916;сборная;Л;23150;Ярмош;Ольга;Николаевна;0
"25,5";3269;Всё дело в перце;Санкт-Петербург;Л;45279;Салий;Владимир;Владимирович;0
"25,5";3269;Всё дело в перце;Санкт-Петербург;Б;36883;Щукина;Софья;Вячеславовна;0
"25,5";3269;Всё дело в перце;Санкт-Петербург;Б;36274;Шифрин;Алексей;Евгеньевич;0
"25,5";3269;Всё дело в перце;Санкт-Петербург;Б;18855;Лукин;Ярослав;Николаевич;0
"25,5";3269;Всё дело в перце;Санкт-Петербург;Б;9342;Дидбаридзе;Юлия;Амираниевна;0
"25,5";3269;Всё дело в перце;Санкт-Петербург;Б;21233;Михлин;Леонид;Станиславович;0
"25,5";4955;Вермишель;Санкт-Петербург;Б;33604;Хазанова;Светлана;Михайловна;0
"25,5";4955;Вермишель;Санкт-Петербург;Б;25791;Порецкий;Игорь;Борисович;0
"25,5";4955;Вермишель;Санкт-Петербург;Б;37302;Якубсон;Мария;Яковлевна;0
"25,5";4955;Вермишель;Санкт-Петербург;Б;37303;Якубсон;Михаил;Яковлевич;0
"25,5";4955;Вермишель;Санкт-Петербург;Б;16589;Круз;Вера;Николаевна;0
"25,5";6855;Несомненный скрамасакс;Москва;Л;35839;Шевель;Михаил;Александрович;0
"25,5";6855;Несомненный скрамасакс;Москва;Б;1170;Аникьев;Илья;Игоревич;0
"25,5";6855;Несомненный скрамасакс;Москва;Б;25905;Потопаева;Вера;Григорьевна;0
"25,5";6855;Несомненный скрамасакс;Москва;Б;9555;Долгополов;Василий;Геннадьевич;0
"25,5";6855;Несомненный скрамасакс;Москва;Б;30373;Зайцев;Александр;Владимирович;0
"25,5";6855;Несомненный скрамасакс;Москва;К;33536;Фрухт;Михаил;Юрьевич;0
"25,5";39899;Чорный пластелин;Санкт-Петербург;Л;58739;Овчинникова;Анна;Евгеньевна;0
"25,5";39899;Чорный пластелин;Санкт-Петербург;Л;3645;Богловский;Кирилл;Леонардович;0
"25,5";39899;Чорный пластелин;Санкт-Петербург;Л;1280;Антонов;Евгений;Александрович;0
"25,5";39899;Чорный пластелин;Санкт-Петербург;Б;24490;Бер;Юлия;Владимировна;0
"25,5";39899;Чорный пластелин;Санкт-Петербург;Б;9441;Дмитриева;Елизавета;Михайловна;0
"25,5";39899;Чорный пластелин;Санкт-Петербург;Б;33331;Фирсова;Дарья;Владимировна;0
"25,5";39899;Чорный пластелин;Санкт-Петербург;К;32093;Трескунов;Игорь;Ефимович;0
28;167;Опухлики;Санкт-Петербург;Л;21488;Моносова;Татьяна;Павловна;0
28;167;Опухлики;Санкт-Петербург;Л;12659;Исаев;Владимир;Алексеевич;0
28;167;Опухлики;Санкт-Петербург;Б;21784;Музыченко;Игорь;Владимирович;0
28;167;Опухлики;Санкт-Петербург;Б;35120;Чирина;Анна;Владимировна;0
28;167;Опухлики;Санкт-Петербург;Б;33768;Хараг;Наталия;Борисовна;0
28;167;Опухлики;Санкт-Петербург;Б;28361;Сафронов;Игорь;Константинович;0
29;3883;Орден Жёлтого Дятла;Санкт-Петербург;Л;28360;Сафронов;Дмитрий;Андреевич;0
29;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;33096;Федулин;Артём;Сергеевич;0
29;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;33032;Фёдорова;Татьяна;Евгеньевна;0
29;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;45344;Напольская;Надежда;Вячеславовна;0
29;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;8098;Белова;Татьяна;Андреевна;0
29;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;54494;Ватаманюк;Ирина;Валерьевна;0
29;3883;Орден Жёлтого Дятла;Санкт-Петербург;Б;37572;Григорьев;Сергей;Андреевич;0
30;3994;Чердак;Ярославль;Л;14168;Кирнос;Василий;Павлович;0
30;3994;Чердак;Ярославль;Л;52675;Лаврентьева;Любовь;Сергеевна;0
30;3994;Чердак;Ярославль;Л;20144;Масленникова;Наталья;Фёдоровна;0
30;3994;Чердак;Ярославль;Л;17180;Кулакова;Юлия;Михайловна;0
30;3994;Чердак;Ярославль;Л;17178;Селина;Наталия;Михайловна;0
30;3994;Чердак;Ярославль;Б;37605;Иванов;Дмитрий;Михайлович;0
30;3994;Чердак;Ярославль;Б;53513;Елисеев;Дмитрий;Андреевич;0
30;3994;Чердак;Ярославль;К;28606;Селин;Юрий;Александрович;0
31;26660;Лыжню!;Псков;Б;67270;Андреев;Максим;Олегович;0
31;26660;Лыжню!;Псков;Б;21208;Михеев;Дмитрий;Владимирович;0
31;26660;Лыжню!;Псков;Б;24438;Камалягина;Екатерина;Васильевна;0
31;26660;Лыжню!;Псков;Б;777;Алексеева;Анастасия;Геннадиевна;0
31;26660;Лыжню!;Псков;Б;10374;Емельянов;Дмитрий;Николаевич;0
32;26834;42;Москва;Б;39031;Котов;Пётр;Владимирович;0
32;26834;42;Москва;Б;39033;Ларин;Владимир;Валерьевич;0
32;26834;42;Москва;Б;39038;Черемисов;Василий;Геннадьевич;0
32;26834;42;Москва;Б;44750;Пирогов;Николай;Евгеньевич;0
32;26834;42;Москва;Б;39036;Сайкина;Мария;Викторовна;0
32;26834;42;Москва;К;39039;Шуклин;Глеб;Николаевич;0
33;39110;Ветер удачи;Москва;Л;28682;Семёнова;Александра;Геннадьевна;0
33;39110;Ветер удачи;Москва;Б;48916;Виталисов;Николай;Анатольевич;0
33;39110;Ветер удачи;Москва;Б;43198;Сироткин;Алексей;Игоревич;0
33;39110;Ветер удачи;Москва;Б;62654;Наркевич;Мария;Александровна;0
33;39110;Ветер удачи;Москва;Б;62655;Наркевич;Юрий;Валерьевич;0
33;39110;Ветер удачи;Москва;Б;62657;Лаврин;Михаил;Анатольевич;0
"34,5";673;МГТУ;Москва;Л;29201;Синичкина;Евгения;Юрьевна;0
"34,5";673;МГТУ;Москва;Л;35513;Игнатенкова;Арина;Валерьевна;0
"34,5";673;МГТУ;Москва;Б;4712;Пряжникова;Ольга;Владимировна;0
"34,5";673;МГТУ;Москва;Б;60553;Карпенко;Денис;Николаевич;0
"34,5";673;МГТУ;Москва;Б;35240;Чулинин;Юрий;Георгиевич;0
"34,5";673;МГТУ;Москва;К;29613;Смирнов;Дмитрий;Борисович;0
"34,5";2298;Макароны под плинтусом;Великий Новгород;Б;38363;Спорник;Александр;Павлович;0
