Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;673;МГТУ;Москва;Б;66828;Баринов;Никита;Андреевич;12
1;673;МГТУ;Москва;Б;4426;Буланова;Галина;Александровна;123
1;673;МГТУ;Москва;Б;60553;Карпенко;Денис;Николаевич;123
1;673;МГТУ;Москва;Б;38174;Коблов;Александр;Геннадьевич;123
1;673;МГТУ;Москва;К;29613;Смирнов;Дмитрий;Борисович;123
1;673;МГТУ;Москва;Б;35240;Чулинин;Юрий;Георгиевич;123
1;673;МГТУ;Москва;Б;61400;Андрюшин;Алексей;Валерьевич;3
2;3875;Сова при свете дня;Ивантеевка;Б;13857;Кашкарова;Ксения;Юрьевна;1
2;3875;Сова при свете дня;Ивантеевка;Б;28379;Сахаров;Константин;Владимирович;123
2;3875;Сова при свете дня;Ивантеевка;Б;37836;Шевченко;Александр;Николаевич;1
2;3875;Сова при свете дня;Ивантеевка;Л;79382;Зыкова;Ксения;Игоревна;13
2;3875;Сова при свете дня;Ивантеевка;Л;46340;Болотова;Алла;Юрьевна;123
2;3875;Сова при свете дня;Ивантеевка;Л;100966;Мельков;Алексей;Евгеньевич;23
2;3875;Сова при свете дня;Ивантеевка;Л;20096;Марченко;Михаил;Сергеевич;3
3;42375;Venceremos;Москва;Б;38656;Бычкова;Дарья;Андреевна;123
3;42375;Venceremos;Москва;Б;77653;Крохоткин;Иван;Александрович;12
3;42375;Venceremos;Москва;Б;39634;Кудяков;Алексей;Андреевич;123
3;42375;Venceremos;Москва;Б;58936;Лукьянченко;Екатерина;Александровна;13
3;42375;Venceremos;Москва;Б;77652;Михеева;Татьяна;Владимировна;123
3;42375;Venceremos;Москва;Б;77654;Соболевский;Михаил;Юрьевич;123
3;42375;Venceremos;Москва;Л;86795;Казначеев;Павел;Сергеевич;123
3;42375;Venceremos;Москва;К;40768;Макаева;Зарема;Маратовна;2
4;47;Снарк;Долгопрудный;Б;3800;Болотина;Надежда;Вячеславовна;123
4;47;Снарк;Долгопрудный;Б;9707;Дракон;Александр;Всеславович;13
4;47;Снарк;Долгопрудный;Б;61401;Журавлёв;Андрей;Сергеевич;123
4;47;Снарк;Долгопрудный;Б;11877;Зосимова;Ирина;Викторовна;123
4;47;Снарк;Долгопрудный;Б;12409;Стрельцова;Алина;Константиновна;12
4;47;Снарк;Долгопрудный;Б;33155;Феофанов;Дмитрий;Леонидович;123
4;47;Снарк;Долгопрудный;Л;17200;Кулибаба;Максим;Сергеевич;3
5;37591;Флориана;Москва;Б;112666;Архипова;Дина;Геннадьевна;123
