Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;45556;Рабочее название;Санкт-Петербург;К;22799;Николенко;Сергей;Игоревич;0
1;45556;Рабочее название;Санкт-Петербург;Б;6212;Выменец;Юрий;Яковлевич;0
1;45556;Рабочее название;Санкт-Петербург;Б;15456;Коновалов;Сергей;Владимирович;0
1;45556;Рабочее название;Санкт-Петербург;Б;18036;Левандовский;Михаил;Ильич;0
1;45556;Рабочее название;Санкт-Петербург;Б;18332;Либер;Александр;Витальевич;0
1;45556;Рабочее название;Санкт-Петербург;Б;26089;Прокофьева;Ирина;Сергеевна;0
2;49804;Борский корабел;Москва;Б;27822;Савченков;Михаил;Владимирович;0
2;49804;Борский корабел;Москва;Б;27403;Руссо;Максим;Михайлович;0
2;49804;Борский корабел;Москва;Б;23178;Овдеенко;Елизавета;Сергеевна;0
2;49804;Борский корабел;Москва;Б;4270;Брутер;Александра;Владимировна;0
2;49804;Борский корабел;Москва;Б;30152;Сорожкин;Артём;Сергеевич;0
2;49804;Борский корабел;Москва;Б;28751;Семушин;Иван;Николаевич;0
3;1681;Джокер;Могилёв;Б;7304;Голдов;Дмитрий;Владимирович;0
3;1681;Джокер;Могилёв;Б;9857;Дуболазов;Алексей;Игоревич;0
3;1681;Джокер;Могилёв;Б;32558;Ужов;Николай;Моисеевич;0
3;1681;Джокер;Могилёв;Б;36372;Шлезингер;Юлия;Владимировна;0
3;1681;Джокер;Могилёв;Л;36372;Шлезингер;Юлия;Владимировна;0
3;1681;Джокер;Могилёв;Л;33509;Фролов;Иван;Александрович;0
"4,5";6198;Gambler;Москва;Б;16901;Кузнецов;Гай;Викторович;0
"4,5";6198;Gambler;Москва;Б;32516;Уварова;Мария;Павловна;0
"4,5";6198;Gambler;Москва;Б;35222;Чудаков;Николай;Михайлович;0
"4,5";6198;Gambler;Москва;Б;36898;Эдлин;Леонид;Михайлович;0
"4,5";6198;Gambler;Москва;Л;15051;Коколия;Георгий;Владимирович;0
"4,5";6198;Gambler;Москва;Л;38180;Сотников;Алексей;Иванович;0
"4,5";43790;Луна-Парк;Краснодар;Б;9170;Дереза;Виктор;Николаевич;0
"4,5";43790;Луна-Парк;Краснодар;Б;37584;Ерёмин;Иван;Андреевич;0
"4,5";43790;Луна-Парк;Краснодар;Б;38168;Карачун;Максим;Игоревич;0
"4,5";43790;Луна-Парк;Краснодар;Б;27515;Рыжков;Тимур;Валерьевич;0
"4,5";43790;Луна-Парк;Краснодар;Б;53031;Карачун;Михаил;Игоревич;0
"4,5";43790;Луна-Парк;Краснодар;Б;78621;Лебедев;Анатолий;Андреевич;0
"6,5";316;Минус один;Киев;Б;7420;Голуб;Эдуард;Викторович;0
"6,5";316;Минус один;Киев;Б;9834;Дубинская;Ольга;Игоревна;0
"6,5";316;Минус один;Киев;Б;10182;Еганов;Антон;Александрович;0
"6,5";316;Минус один;Киев;К;23740;Островский;Владимир;Сергеевич;0
