Место;"IDteam";Название;Город;Флаг;"IDplayer";Фамилия;Имя;Отчество
1;49804;Борский корабел;Москва;Б;4270;Брутер;Александра;Владимировна;0
1;49804;Борский корабел;Москва;Б;23178;Овдеенко;Елизавета;Сергеевна;0
1;49804;Борский корабел;Москва;Б;27403;Руссо;Максим;Михайлович;0
1;49804;Борский корабел;Москва;Б;27822;Савченков;Михаил;Владимирович;0
1;49804;Борский корабел;Москва;Б;28751;Семушин;Иван;Николаевич;0
1;49804;Борский корабел;Москва;Б;30152;Сорожкин;Артём;Сергеевич;0
2;3133;Механизм реакции;Москва;К;5990;Волыхов;Андрей;Александрович;0
2;3133;Механизм реакции;Москва;Б;10822;Железнов;Кирилл;Олегович;0
2;3133;Механизм реакции;Москва;Б;38458;Лобкова;Екатерина;Владимировна;0
2;3133;Механизм реакции;Москва;Б;24543;Перпер;Евгений;Михайлович;0
2;3133;Механизм реакции;Москва;Л;16802;Кудрявцев;Андрей;Владимирович;0
2;3133;Механизм реакции;Москва;Л;37761;Сахаров;Дмитрий;Андреевич;0
3;45367;Гвардия;Москва;Б;19915;Марков;Александр;Валерьевич;0
3;45367;Гвардия;Москва;Б;74382;Новосёлов;Михаил;Андреевич;0
3;45367;Гвардия;Москва;Б;24850;Печеный;Александр;Павлович;0
3;45367;Гвардия;Москва;Б;36592;Штых;Алексей;Константинович;0
3;45367;Гвардия;Москва;Л;23594;Орловецкий;Борис;Константинович;0
3;45367;Гвардия;Москва;Л;12247;Иванова;Любовь;Владимировна;0
6;435;МАСКА;Москва;Б;61809;Богатов;Василий;Викторович;0
6;435;МАСКА;Москва;Б;6017;Воробьёв;Анатолий;Борисович;0
6;435;МАСКА;Москва;Б;116134;Горев;Георгий;Анатольевич;0
6;435;МАСКА;Москва;Б;11202;Задубровский;Борис;Владимирович;0
6;435;МАСКА;Москва;Б;53660;Полосина;Олеся;Васильевна;0
6;435;МАСКА;Москва;К;30554;Стерин;Юрий;Фридрихович;0
6;435;МАСКА;Москва;Б;25412;Полищук;Михаил;Давидович;0
6;1681;Джокер;Могилёв;Б;7304;Голдов;Дмитрий;Владимирович;0
6;1681;Джокер;Могилёв;Б;9857;Дуболазов;Алексей;Игоревич;0
6;1681;Джокер;Могилёв;Б;32558;Ужов;Николай;Моисеевич;0
6;1681;Джокер;Могилёв;Б;36372;Шлезингер;Юлия;Владимировна;0
6;1681;Джокер;Могилёв;Л;36372;Шлезингер;Юлия;Владимировна;0
6;1681;Джокер;Могилёв;Л;29981;Солдатов;Андрей;Владимирович;0
6;1681;Джокер;Могилёв;Л;34909;Чернуха;Ирина;Викторовна;0
6;6424;South Butovo Park;Москва;Л;36120;Шибанов;Серафим;Александрович;0
6;6424;South Butovo Park;Москва;Л;28019;Сальников;Дмитрий;Евгеньевич;0
6;6424;South Butovo Park;Москва;Л;15811;Король;Владислав;Валерьевич;0
6;6424;South Butovo Park;Москва;Л;23020;Новыш;Наталия;Васильевна;0
6;6424;South Butovo Park;Москва;Л;23967;Пактовская;Галина;Александровна;0
6;6424;South Butovo Park;Москва;Л;25337;Поздняков;Никита;Валентинович;0
6;41366;Гидрою контры убит Чаушеску;Раменское;К;59066;Бойков;Виктор;Михайлович;0
6;41366;Гидрою контры убит Чаушеску;Раменское;Б;72160;Карчевский;Александр;Сергеевич;0
6;41366;Гидрою контры убит Чаушеску;Раменское;Б;53689;Тилипман;Антон;Михайлович;0
6;41366;Гидрою контры убит Чаушеску;Раменское;Б;33236;Филин;Сергей;Викторович;0
6;41366;Гидрою контры убит Чаушеску;Раменское;Б;71471;Худеев;Илья;Сергеевич;0
6;42263;Румба;Москва;Б;53711;Беликов;Денис;Вадимович;0
6;42263;Румба;Москва;Б;62656;Межова;Марина;Анатольевна;0
6;42263;Румба;Москва;Б;75223;Московкин;Александр;Андреевич;0
6;42263;Румба;Москва;Б;80897;Сумин;Дмитрий;Александрович;0
6;42263;Румба;Москва;Л;15472;Кононенко;Евгений;Иванович;0
6;42263;Румба;Москва;Л;19632;Шальнов;Максим;Владимирович;0
9;42375;Venceremos;Москва;Б;39634;Кудяков;Алексей;Андреевич;0
9;42375;Venceremos;Москва;К;40768;Макаева;Зарема;Маратовна;0
9;42375;Venceremos;Москва;Б;77652;Михеева;Татьяна;Владимировна;0
9;42375;Venceremos;Москва;Б;77654;Соболевский;Михаил;Юрьевич;0
9;42375;Venceremos;Москва;Л;54035;Жадиков;Дамир;Сафуанович;0
9;42375;Venceremos;Москва;Л;66735;Кравченко;Наталья;Андреевна;0
"11,5";312;Социал-демократы;Москва;Б;3083;Белявский;Дмитрий;Михайлович;0
"11,5";312;Социал-демократы;Москва;Б;12119;Иванов;Дмитрий;Александрович;0
"11,5";312;Социал-демократы;Москва;К;19599;Малышев;Павел;Михайлович;0
"11,5";312;Социал-демократы;Москва;Б;25724;Попов;Юрий;Валерьевич;0
"11,5";312;Социал-демократы;Москва;Б;27177;Ромашова;Вероника;Михайловна;0
"11,5";312;Социал-демократы;Москва;Л;15051;Коколия;Георгий;Владимирович;0
"11,5";2865;Немчиновка;Москва;Б;3438;Биткин;Игорь;Владимирович;0
"11,5";2865;Немчиновка;Москва;Б;5195;Вассерман;Анатолий;Александрович;0
"11,5";2865;Немчиновка;Москва;Б;9680;Доскоч;Игорь;Ярославович;0
"11,5";2865;Немчиновка;Москва;Б;17104;Кузьмич;Александр;Михайлович;0
"11,5";2865;Немчиновка;Москва;Б;32979;Фёдоров;Виталий;Витальевич;0
"11,5";2865;Немчиновка;Москва;Л;74413;Вахранёва;Елизавета;Сергеевна;0
"11,5";5694;ЗАО Дно;Москва;Б;7940;Грановская;Инна;Михайловна;0
"11,5";5694;ЗАО Дно;Москва;Б;10118;Евдокимов;Сергей;Геннадьевич;0
"11,5";5694;ЗАО Дно;Москва;Б;56000;Коватенков;Евгений;Николаевич;0
"11,5";5694;ЗАО Дно;Москва;Б;14699;Костягина;Вера;Анатольевна;0
"11,5";5694;ЗАО Дно;Москва;Л;4852;Вайнман;Дмитрий;Львович;0
"11,5";37488;Эрудиты;Москва;Б;505;Айзятулова;Иделия;Мукадясовна;0
"11,5";37488;Эрудиты;Москва;Б;28689;Семёнова;Инна;Валентиновна;0
"11,5";37488;Эрудиты;Москва;К;19541;Малкин;Михаил;Леонидович;0
"11,5";37488;Эрудиты;Москва;Б;13689;Карякин;Дмитрий;Александрович;0
"11,5";37488;Эрудиты;Москва;Л;12401;Игнатенков;Егор;Николаевич;0
"11,5";37488;Эрудиты;Москва;Л;12401;Игнатенков;Егор;Николаевич;0
15;673;МГТУ;Москва;Б;66828;Баринов;Никита;Андреевич;0
15;673;МГТУ;Москва;Б;60553;Карпенко;Денис;Николаевич;0
15;673;МГТУ;Москва;Б;38174;Коблов;Александр;Геннадьевич;0
15;673;МГТУ;Москва;Б;35240;Чулинин;Юрий;Георгиевич;0
15;673;МГТУ;Москва;Б;4426;Буланова;Галина;Александровна;0
15;42997;Друзья парадоксов;Москва;Б;80566;Гаас;Олег;Владимирович;0
15;42997;Друзья парадоксов;Москва;Б;80571;Кубасова;Екатерина;Валерьевна;0
15;42997;Друзья парадоксов;Москва;К;55041;Моздухов;Борис;Борисович;0
15;42997;Друзья парадоксов;Москва;Б;103108;Марьенко;Евгений;Анатольевич;0
15;42997;Друзья парадоксов;Москва;Л;100320;Советских;Роман;Викторович;0
15;42997;Друзья парадоксов;Москва;Л;79102;Устина;Ирина;Витальевна;0
15;42997;Друзья парадоксов;Москва;Б;79102;Устина;Ирина;Витальевна;0
15;45585;Кровлю Кромвеля снесло;Москва;Б;63364;Алдашев;Андрей;Анатольевич;0
15;45585;Кровлю Кромвеля снесло;Москва;Б;8471;Гуляев;Роман;Юрьевич;0
15;45585;Кровлю Кромвеля снесло;Москва;К;66435;Коровин;Никита;Максимович;0
15;45585;Кровлю Кромвеля снесло;Москва;Б;62035;Плотников;Михаил;Михайлович;0
15;45585;Кровлю Кромвеля снесло;Москва;Б;107161;Файзуллина;Карина;Радиковна;0
15;45585;Кровлю Кромвеля снесло;Москва;Л;114083;Лобьян;Кристина;Арменовна;0
18;42453;359;Москва;К;77919;Аникин;Константин;Александрович;0
18;42453;359;Москва;Б;1169;Аникина;Ольга;Евгеньевна;0
18;42453;359;Москва;Б;77916;Емышев;Владимир;Владимирович;0
18;42453;359;Москва;Б;77914;Кузнецова;Анастасия;Михайловна;0
18;42453;359;Москва;Б;77917;Серёгин;Максим;Михайлович;0
18;46328;Табула раса;Москва;Б;88078;Абрамова;Ирина;Александровна;0
18;46328;Табула раса;Москва;Б;93284;Попов;Максим;Александрович;0
18;46328;Табула раса;Москва;Б;29767;Сморщков;Павел;Анатольевич;0
18;46328;Табула раса;Москва;Б;95356;Шкут;Сергей;Николаевич;0
18;46328;Табула раса;Москва;Б;27409;Рустамов;Низам;Магомед оглы;0
18;46328;Табула раса;Москва;Л;96304;Тырышкин;Алексей;Владимирович;0
18;46381;Разведка боём;Москва;Б;95884;Проскурина;Ирина;Александровна;0
18;46381;Разведка боём;Москва;Б;34647;Чебыкин;Алексей;Михайлович;0
18;46381;Разведка боём;Москва;К;90915;Яковлев;Вадим;Игоревич;0
18;46381;Разведка боём;Москва;Л;43198;Сироткин;Алексей;Игоревич;0
18;46381;Разведка боём;Москва;Л;28682;Семёнова;Александра;Геннадьевна;0
18;46381;Разведка боём;Москва;Л;37691;Митрофанов;Иван;Александрович;0
21;3875;UFO;Ивантеевка;Б;46339;Волосатов;Антон;Валерьевич;0
21;3875;UFO;Ивантеевка;Б;13857;Кашкарова;Ксения;Юрьевна;0
21;3875;UFO;Ивантеевка;Б;33620;Хаиткулов;Руслан;Гафурович;0
21;3875;UFO;Ивантеевка;Б;37836;Шевченко;Александр;Николаевич;0
21;3875;UFO;Ивантеевка;Л;3925;Бордачев;Павел;Юрьевич;0
21;3875;UFO;Ивантеевка;Л;33239;Окунь;Софья;Александровна;0
21;7718;Биркиркара;Москва;Б;1305;Антохин;Владимир;Викторович;0
21;7718;Биркиркара;Москва;Б;3843;Бомешко;Светлана;Борисовна;0
21;7718;Биркиркара;Москва;Б;16120;Котышов;Ярослав;Александрович;0
21;7718;Биркиркара;Москва;Б;54910;Пинчук;Антон;Алексеевич;0
21;7718;Биркиркара;Москва;Б;2421;Самойлова;Ася;Сергеевна;0
21;7718;Биркиркара;Москва;Л;21346;Могильда;Мария;Александровна;0
21;43002;Опережая мысли;Москва;Б;93713;Васильева;Елена;Юрьевна;0
21;43002;Опережая мысли;Москва;Б;81958;Десяткина;Татьяна;Викторовна;0
21;43002;Опережая мысли;Москва;Б;80596;Евдокимов;Денис;Вадимович;0
21;43002;Опережая мысли;Москва;К;80591;Корешков;Константин;Евгеньевич;0
21;43002;Опережая мысли;Москва;Б;80594;Макеев;Николай;Константинович;0
21;43002;Опережая мысли;Москва;Б;80593;Шуб;Алексей;Владимирович;0
24;3960;Концептуальный респект;Зеленоград;Б;37866;Кузнецов;Степан;Львович;0
24;3960;Концептуальный респект;Зеленоград;Б;62657;Лаврин;Михаил;Анатольевич;0
24;3960;Концептуальный респект;Зеленоград;Б;18286;Летучий;Яков;Борисович;0
24;3960;Концептуальный респект;Зеленоград;Б;62653;Фурса;Анатолий;Анатольевич;0
24;3960;Концептуальный респект;Зеленоград;Л;74677;Селиванова;Екатерина;Константиновна;0
24;3960;Концептуальный респект;Зеленоград;Л;66169;Мезина;Алла;Вячеславовна;0
24;28154;X-Com;Ивантеевка;Б;52844;Махрова;Маргарита;Александровна;0
24;28154;X-Com;Ивантеевка;Б;70932;Семёнова;Дарья;Николаевна;0
24;28154;X-Com;Ивантеевка;Б;29887;Соколов;Андрей;Андреевич;0
24;28154;X-Com;Ивантеевка;Б;96325;Токарев;Андрей;Сергеевич;0
24;28154;X-Com;Ивантеевка;Л;96325;Токарев;Андрей;Сергеевич;0
24;28154;X-Com;Ивантеевка;К;36546;Штанников;Вадим;Вячеславович;0
24;43521;Сперва добейся;Москва;Б;17443;Курицын;Иван;Васильевич;0
